open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2020-06-15,44.04,44.09,41.75,43.73,355287.54016,1592265599999,15285580.7524259,46769,172681.57889,7433260.963164,0
2020-06-16,43.73,44.22,43.33,43.88,215557.59073,1592351999999,9436824.369403,33537,109525.54878,4795510.2098273,0
2020-06-17,43.9,45.04,43.0,44.07,324893.86142,1592438399999,14346683.2404897,45652,159528.2479,7045861.7506731,0
2020-06-18,44.07,44.23,42.88,43.43,193534.98938,1592524799999,8454598.7423494,32774,90881.19416,3970993.8171803,0
2020-06-19,43.43,43.73,42.57,42.89,304810.97536,1592611199999,13177549.1287969,39094,146936.24366,6353506.0840621,0
2020-06-20,42.89,43.85,42.21,43.57,202428.9463,1592697599999,8709765.1207691,32764,98462.33947,4237599.1267937,0
2020-06-21,43.57,43.83,42.88,43.0,159632.6785,1592783999999,6913195.7711694,24986,79133.48738,3427728.3268752,0
2020-06-22,43.0,44.67,42.94,44.3,281907.39739,1592870399999,12383199.9091788,34486,145472.39497,6390511.7186688,0
2020-06-23,44.3,44.49,43.89,44.18,219437.96099,1592956799999,9687570.3990332,30539,109741.56203,4845275.1856471,0
2020-06-24,44.18,44.69,42.1,42.65,357937.97223,1593043199999,15461096.4397973,49816,162206.79726,7009572.9957909,0
2020-06-25,42.65,43.0,41.68,42.35,241972.00632,1593129599999,10274173.0759525,33515,110060.85591,4674542.7219074,0
2020-06-26,42.34,43.6,41.37,43.09,348389.34208,1593215999999,14853210.4044505,47569,172112.83096,7342127.9633767,0
2020-06-27,43.1,43.12,39.11,41.06,301504.6343,1593302399999,12500262.7682874,45758,136307.23233,5652088.0844668,0
2020-06-28,41.04,42.05,40.48,41.37,169011.98685,1593388799999,6984592.7145514,28350,90669.34509,3747662.6796136,0
2020-06-29,41.37,42.29,40.59,41.87,323346.172,1593475199999,13400088.9615602,38361,165912.63099,6877343.5510592,0
2020-06-30,41.87,42.07,40.73,41.17,170712.36761,1593561599999,7047775.850108,26189,81721.65019,3373768.5370289,0
2020-07-01,41.16,42.01,40.96,41.77,189759.33668,1593647999999,7889028.9814239,27100,95851.49466,3985986.7343243,0
2020-07-02,41.76,41.9,40.28,41.05,274520.05417,1593734399999,11294890.1957212,34825,135864.02169,5589516.4732355,0
2020-07-03,41.03,41.7,40.89,41.14,190294.77564,1593820799999,7860587.6040164,27007,90737.32607,3750021.0092083,0
2020-07-04,41.13,42.23,41.06,42.11,239298.32793,1593907199999,9986664.029021,33010,126008.49034,5260662.0325421,0
2020-07-05,42.11,42.2,40.75,41.58,235045.82858,1593993599999,9752587.2429427,31821,106527.37623,4421454.1748382,0
2020-07-06,41.58,44.31,41.5,44.06,368489.71516,1594079999999,15857759.2091878,47338,191107.34214,8221887.7560388,0
2020-07-07,44.07,44.49,43.06,43.39,307753.44376,1594166399999,13417182.8209459,37184,152716.19659,6660167.3467929,0
2020-07-08,43.39,45.62,43.1,45.35,537390.40825,1594252799999,24100589.4894504,59397,264447.64555,11861634.4000392,0
2020-07-09,45.35,45.87,43.57,44.33,413268.76529,1594339199999,18508763.9474714,50271,200193.09131,8975042.1753545,0
