open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2020-06-15,0.02057,0.0206,0.01877,0.0204,354470772.9,1592265599999,7001554.834187,19679,175010654.7,3457061.682469,0
2020-06-16,0.0204,0.02084,0.01989,0.0206,192027676.9,1592351999999,3927652.505069,11960,90198685.6,1846664.482163,0
2020-06-17,0.02061,0.0214,0.01998,0.02073,262324436.1,1592438399999,5447772.872447,13707,122502776.4,2547803.562177,0
2020-06-18,0.02072,0.02077,0.02003,0.02041,164829825.0,1592524799999,3372220.393492,8547,71129433.9,1456857.420688,0
2020-06-19,0.02041,0.02081,0.01985,0.02027,179079796.9,1592611199999,3634570.201777,9093,82553049.1,1677414.608346,0
2020-06-20,0.02026,0.02269,0.0202,0.02259,488381253.0,1592697599999,10442716.032364,22910,251330245.9,5385438.786337,0
2020-06-21,0.0226,0.023,0.02122,0.02137,454445118.7,1592783999999,10134777.102857,20779,220491314.3,4920471.377957,0
2020-06-22,0.02137,0.02248,0.02122,0.02221,323361504.3,1592870399999,7051977.057168,17994,163349055.9,3563505.451717,0
2020-06-23,0.02225,0.02298,0.0217,0.02261,247829918.0,1592956799999,5565998.917857,14774,129209301.7,2906833.504987,0
2020-06-24,0.02263,0.02274,0.02138,0.02239,278347442.4,1593043199999,6122716.273296,15152,132120460.2,2905092.211499,0
2020-06-25,0.02236,0.0224,0.02123,0.02157,191290746.0,1593129599999,4184678.016802,9966,86790558.6,1900672.998417,0
2020-06-26,0.02157,0.02198,0.02055,0.02081,250968688.1,1593215999999,5299325.907836,10427,124136588.5,2620080.71147,0
2020-06-27,0.02083,0.02123,0.01875,0.01935,269363575.3,1593302399999,5385568.271902,14082,128371964.3,2574089.714137,0
2020-06-28,0.01934,0.02036,0.01775,0.02003,275098376.4,1593388799999,5339257.003831,14071,130338820.5,2533270.150785,0
2020-06-29,0.02004,0.02039,0.01851,0.01963,330509492.2,1593475199999,6505805.805653,15368,159982213.3,3152185.938525,0
