week;RF
20220624;0.01
20220701;0.02
20220708;0.02
20220715;0.02
20220722;0.02
20220729;0.02
20220805;0.05
20220812;0.05
20220819;0.05
20220826;0.05
20220902;0.05
20220909;0.05
20220916;0.05
20220923;0.05
20220930;0.05
20221007;0.06
20221014;0.06
20221021;0.06
20221028;0.06
20221104;0.07
20221111;0.07
20221118;0.07
20221125;0.07
20221202;0.08
20221209;0.08
20221216;0.08
20221223;0.08
20221230;0.08
20230106;0.09
20230113;0.09
20230120;0.09
20230127;0.09
20230203;0.09
20230210;0.09
20230217;0.09
20230224;0.09
20230303;0.09
20230310;0.09
20230317;0.09
20230324;0.09
20230331;0.09
20230406;0.09
20230414;0.09
20230421;0.09
20230428;0.09
20230505;0.09
20230512;0.09
20230519;0.09
20230526;0.09
20230602;0.10
20230609;0.10
20230616;0.10
20230623;0.10
20230630;0.10
20230707;0.11
20230714;0.11
20230721;0.11
20230728;0.11
20230804;0.11
20230811;0.11
20230818;0.11
20230825;0.11
20230901;0.11
20230908;0.11
20230915;0.11
20230922;0.11
20230929;0.11
20231006;0.12
20231013;0.12
20231020;0.12
20231027;0.12
20231103;0.11
20231110;0.11
20231117;0.11
20231124;0.11
20231201;0.11
20231208;0.11
20231215;0.11
20231222;0.11
20231229;0.11
20240105;0.12
